Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
7	Sep 9, 2011	Sep 9, 2011	2011	2011	Creature	The Bubble Factory	Horror	Original Screenplay	Live Action	Fantasy	$3,000,000	1,507	1,507	1,507	$327,000	$331,000	$351,868	$0	$331,000
8	Sep 2, 2011	Sep 2, 2011	2011	2011	Shark Night 3D	Relativity	Horror	Original Screenplay	Live Action	Contemporary Fiction	$25,000,000	2,806	2,848	9,217	$8,404,260	$18,877,153	$20,067,387	$13,332,588	$32,209,741
9	Aug 26, 2011	Aug 26, 2011	2011	2011	Don't Be Afraid of the Dark	FilmDistrict	Horror	Remake	Live Action	Contemporary Fiction	$25,000,000	2,760	2,780	10,171	$8,525,728	$24,046,682	$25,562,862	$15,079,745	$39,126,427
10	Aug 19, 2011	Aug 19, 2011	2011	2011	Fright Night	Walt Disney	Horror	Remake	Live Action	Contemporary Fiction	$30,000,000	3,114	3,114	8,637	$8,114,388	$18,298,649	$19,452,402	$22,222,000	$40,520,649
11	Aug 12, 2011	Aug 12, 2011	2011	2011	Final Destination 5	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	$40,000,000	3,155	3,155	11,037	$18,031,396	$42,587,643	$45,272,868	$112,423,522	$155,011,165
12	Jun 28, 2011	Jun 28, 2011	2011	2011	2:13		Horror				$3,500,000	0	0	0	$0	$0	$0	$0	$0
13	Jun 10, 2011	Jun 10, 2011	2011	2011	Trolljegeren	Magnet Pictures	Horror	Original Screenplay	Live Action	Fantasy	$3,500,000	1	21	156	$5,585	$253,444	$269,423	$5,453,194	$5,706,638
14	May 24, 2011	May 24, 2011	2011	2011	Forget Me Not		Horror	Original Screenplay	Live Action	Fantasy	$1,300,000	0	0	0	$0	$0	$0	$13,465	$13,465
15	May 13, 2011	May 13, 2011	2011	2011	Priest	Sony Pictures	Horror	Based on Comic/Graphic Novel	Live Action	Fantasy	$60,000,000	2,864	2,864	8,469	$14,953,664	$29,136,626	$30,973,734	$55,017,400	$84,154,026
16	Apr 29, 2011	Apr 29, 2011	2011	2011	Dylan Dog: Dead of Night	Omin/Freestyle	Horror	Based on Comic/Graphic Novel	Live Action	Fantasy	$20,000,000	875	875	1,373	$754,779	$1,186,538	$1,261,347	$4,907,187	$6,093,725
17	Apr 22, 2011	Apr 22, 2011	2011	2011	Stake Land	IFC Films	Horror	Original Screenplay	Live Action	Fantasy	$4,000,000	1	5	6	$7,258	$33,245	$35,339	$646,237	$679,482
18	Apr 15, 2011	Apr 15, 2011	2011	2011	Scream 4	Weinstein/Dimension	Horror	Original Screenplay	Live Action	Contemporary Fiction	$40,000,000	3,305	3,314	11,403	$18,692,090	$38,180,928	$40,588,300	$57,808,662	$95,989,590
