Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
87	Sep 24, 1993	Sep 24, 1993	1993	1993	Warlock: The Armageddon	Trimark	Horror	Original Screenplay	Live Action	Science Fiction	$3,000,000	1,320	1,320	1,320	$1,747,317	$3,902,679	$7,946,759	$0	$3,902,679
88	Apr 15, 1983	Apr 15, 1983	1983	1983	The Evil Dead	New Line	Horror		Live Action		$375,000	0	0	0	$0	$2,400,000	$6,422,851	$27,000,000	$29,400,000
89	Feb 4, 1983	Feb 4, 1983	1983	1983	Videodrome	Universal	Horror	Original Screenplay	Live Action	Fantasy	$5,952,000	600	600	998	$1,194,175	$2,120,439	$5,674,697	$0	$2,120,439
90	Mar 19, 1999	Mar 19, 1999	1999	1999	Ravenous	20th Century Fox	Horror	Original Screenplay	Live Action	Historical Fiction	$12,000,000	1,040	1,040	2,266	$1,040,727	$2,062,406	$3,422,454	$0	$2,062,406
91	Apr 22, 1988	Apr 22, 1988	1988	1988	Lady in White	New Century Vista Film Company	Horror	Original Screenplay	Live Action	Fantasy	$4,700,000	0	0	0	$0	$1,705,139	$3,497,396	$0	$1,705,139
92	Sep 4, 1987	Sep 4, 1987	1987	1987	The Offspring	Moviestore Entertainment	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,100,000	55	55	55	$154,991	$1,355,728	$2,922,959	$0	$1,355,728
93	Mar 4, 1988	Mar 4, 1988	1988	1988	Prison	Empire Pictures	Horror	Original Screenplay	Live Action		$4,000,000	0	0	0	$0	$354,704	$727,526	$0	$354,704
94	Nov 19, 1982	Nov 19, 1982	1982	1982	Q	United Film Distribution Co.	Horror	Original Screenplay	Live Action	Fantasy	$1,200,000	67	67	67	$255,000	$255,000	$731,168	$0	$255,000
95	Feb 12, 1993	Feb 12, 1993	1993	1993	Braindead	Trimark	Horror	Original Screenplay	Live Action		$3,000,000	0	0	0	$0	$242,623	$494,032	$0	$242,623
96	Jan 1, 1983	Jan 1, 1983	1983	1983	E tu vivrai nel terrore - L'aldilà		Horror	Original Screenplay	Live Action	Fantasy	$400,000	0	6	11	$0	$126,387	$227,172	$0	$126,387
97	Jan 1, 1993	Jan 1, 1993	1993	1993	Return of the Living Dead 3		Horror		Live Action		$2,000,000	0	0	0	$0	$21,000	$42,757	$0	$21,000
98	Sep 8, 2000	Sep 8, 2000	2000	2000	Anatomie	Sony Pictures	Horror	Original Screenplay	Live Action		$2,500,000	8	8	10	$5,725	$9,598	$15,005	$0	$9,598
99	Aug 24, 1997	Aug 24, 1997	1997	1997	The Grimm Brothers' Snow White	Gramercy	Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	$26,000,000	0	0	0	$0	$5,000	$9,180	$0	$5,000
1	Oct 30, 1981	Oct 30, 1981	1981	1981	Halloween II	Universal	Horror		Live Action	Contemporary Fiction	$2,500,000	1,217	1,217	4,730	$7,676,836	$25,533,818	$77,428,083	$0	$25,533,818
2	Apr 30, 1981	Apr 30, 1981	1981	1981	Friday the 13th Part 2	Paramount Pictures	Horror		Live Action		$1,250,000	1,350	1,350	1,350	$6,429,784	$21,722,776	$65,871,582	$0	$21,722,776
3	Apr 10, 1981	Apr 10, 1981	1981	1981	The Howling	Avco Embassy	Horror	Original Screenplay	Live Action	Fantasy	$1,000,000	0	0	0	$0	$17,985,000	$54,537,244	$0	$17,985,000
4	May 23, 1980	May 23, 1980	1980	1980	The Shining	Warner Bros.	Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$19,000,000	10	10	10	$622,337	$44,017,374	$137,942,922	$373,782	$44,391,156
5	May 9, 1980	May 9, 1980	1980	1980	Friday the 13th	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	$550,000	1,127	1,127	1,127	$5,816,321	$39,754,601	$124,584,121	$20,000,000	$59,754,601
6	Feb 1, 1980	Feb 1, 1980	1980	1980	The Fog	Avco Embassy	Horror		Live Action		$1,000,000	0	0	0	$0	$21,378,361	$66,996,127	$0	$21,378,361
7	May 25, 1979	May 25, 1979	1979	1979	Alien	20th Century Fox	Horror	Original Screenplay	Live Action	Science Fiction	$9,000,000	91	757	9,407	$3,522,581	$80,930,630	$271,810,834	$122,700,000	$203,630,630
8	Apr 20, 1979	Apr 20, 1979	1979	1979	Dawn of the Dead	United Film Distribution Co.	Horror		Live Action		$1,500,000	0	0	0	$0	$5,100,000	$17,128,681	$49,900,000	$55,000,000
9	Oct 17, 1978	Oct 17, 1978	1978	1978	Halloween	Compass International	Horror	Original Screenplay	Live Action	Fantasy	$325,000	0	0	0	$0	$47,000,000	$169,320,512	$23,000,000	$70,000,000
10	Jun 16, 1978	Jun 16, 1978	1978	1978	Jaws 2	Universal	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	$20,000,000	640	640	640	$9,866,023	$102,922,376	$370,784,454	$105,978,000	$208,900,376
11	Jun 17, 1977	Jun 17, 1977	1977	1977	Exorcist II: The Heretic	Warner Bros.	Horror		Live Action		$14,000,000	0	0	0	$0	$25,011,000	$94,548,309	$0	$25,011,000
12	Jan 1, 1977	Jan 1, 1977	1977	1977	Eraserhead	Libra Films	Horror	Original Screenplay	Live Action	Science Fiction	$100,000	0	0	0	$0	$7,000,000	$26,461,880	$0	$7,000,000
13	Nov 16, 1976	Nov 16, 1976	1976	1976	Carrie	United Artists	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	$1,800,000	0	0	0	$0	$25,878,153	$102,419,164	$0	$25,878,153
14	Jun 25, 1976	Jun 25, 1976	1976	1976	The Omen	20th Century Fox	Horror	Original Screenplay	Live Action		$2,800,000	515	515	515	$4,273,886	$48,570,885	$192,231,246	$0	$48,570,885
15	Jun 20, 1975	Jun 20, 1975	1975	1975	Jaws	Universal	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	$12,000,000	409	954	4,026	$7,790,627	$260,000,000	$1,069,170,729	$210,700,000	$470,700,000
16	Oct 18, 1974	Oct 18, 1974	1974	1974	The Texas Chainsaw Massacre	New Line	Horror	Original Screenplay	Live Action	Contemporary Fiction	$140,000	0	0	0	$0	$26,572,439	$119,789,120	$0	$26,572,439
17	Dec 26, 1973	Dec 26, 1973	1973	1973	The Exorcist	Warner Bros.	Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$12,000,000	0	1,708	8,928	$0	$202,347,346	$202,347,346	$197,867,132	$400,214,478
18	Oct 1, 1968	Oct 1, 1968	1968	1968	Night of the Living Dead	Walter Reade Organization	Horror	Original Screenplay	Live Action	Science Fiction	$114,000	0	0	0	$0	$12,000,000	$77,221,371	$18,000,000	$30,000,000
