Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
39	May 28 2010	May 28 2010	2010	2010	George A. Romero's Survival of the Dead	Magnolia Pictures	Horror		Live Action		4200000	20	20	61	43757	101740	108696	0	101740
40	Apr 30 2010	Apr 30 2010	2010	2010	A Nightmare on Elm Street	Warner Bros.	Horror	Remake	Live Action	Fantasy	35000000	3332	3332	13737	32902299	63075011	67391932	54654610	117729621
41	Apr 9 2010	Apr 9 2010	2010	2010	After.Life		Horror	Original Screenplay	Live Action	Contemporary Fiction	4500000	41	41	62	59946	108596	116022	2373329	2481925
42	Mar 23 2010	Mar 23 2010	2010	2010	Lake Mungo		Horror		Live Action		1100000	0	0	0	0	0	0	0	0
43	Feb 26 2010	Feb 26 2010	2010	2010	The Crazies	Overture Films	Horror	Remake	Live Action	Contemporary Fiction	19000000	2477	2479	11004	16067552	39123589	41801251	17321945	56445534
44	Feb 12 2010	Feb 12 2010	2010	2010	The Wolfman	Universal	Horror	Remake	Live Action	Fantasy	150000000	3222	3223	12248	31479235	62189884	66446229	80444474	142634358
45	Jan 8 2010	Jan 8 2010	2010	2010	Daybreakers	Lionsgate	Horror	Original Screenplay	Live Action	Science Fiction	20000000	2523	2523	7632	15146692	30101577	32161757	21343926	51445503
46	Oct 30 2009	Oct 30 2009	2009	2009	The House of the Devil	Magnolia Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	1000000	3	7	43	25195	101215	113763	1597	102812
47	Oct 23 2009	Oct 23 2009	2009	2009	Saw VI	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	11000000	3036	3036	9118	14118444	27693292	31127261	42059110	69752402
48	Sep 25 2009	Sep 25 2009	2009	2009	Pandorum	Overture Films	Horror	Original Screenplay	Live Action	Science Fiction	40000000	2506	2506	7289	4424126	10330853	11611878	6702578	17033431
49	Sep 25 2009	Sep 25 2009	2009	2009	Paranormal Activity	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	450000	12	2712	14399	77873	107918810	121297179	86264224	194183034
50	Sep 11 2009	Sep 11 2009	2009	2009	Sorority Row	Summit Entertainment	Horror	Remake	Live Action	Contemporary Fiction	12500000	2665	2665	8087	5059802	11965282	13448969	14770515	26735797
51	Aug 28 2009	Aug 28 2009	2009	2009	Halloween 2	Weinstein/Dimension	Horror	Original Screenplay	Live Action	Fantasy	15000000	3025	3088	11964	16349565	33392973	37533698	5119877	38512850
52	Aug 28 2009	Aug 28 2009	2009	2009	The Final Destination	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	40000000	3121	3121	13592	27408309	66477700	74720932	120906927	187384627
